Epochs: 0       |Loss: 3.9141591143542205       |Train Acc: 0.021413343861034346        |Val Acc: 0.02  |Time: 239.40161631186493
Epochs: 1       |Loss: 3.9121084309829066       |Train Acc: 0.021160679036715358        |Val Acc: 0.035555555555555556  |Time: 225.78339962498285
Epochs: 2       |Loss: 3.908037181873826        |Train Acc: 0.023703118831425188        |Val Acc: 0.03333333333333333   |Time: 228.29607394896448
Epochs: 3       |Loss: 3.8937374417733825       |Train Acc: 0.03295696802210817 |Val Acc: 0.03333333333333333   |Time: 232.42564055905677
Epochs: 4       |Loss: 3.8400677876899802       |Train Acc: 0.042763521515988945        |Val Acc: 0.044444444444444446  |Time: 223.84044317202643
Epochs: 5       |Loss: 3.756012414833608        |Train Acc: 0.053391235688906434        |Val Acc: 0.06666666666666667   |Time: 226.16473638894968
Epochs: 6       |Loss: 3.7237593746222952       |Train Acc: 0.05831819976312673 |Val Acc: 0.06888888888888889   |Time: 225.82887565391138
Epochs: 7       |Loss: 3.709502847628588        |Train Acc: 0.06326095538886696 |Val Acc: 0.08  |Time: 227.48620224394836
Epochs: 8       |Loss: 3.688403429934219        |Train Acc: 0.0669245953414923  |Val Acc: 0.07333333333333333   |Time: 229.58236431400292
Epochs: 9       |Loss: 3.6513526361128865       |Train Acc: 0.07219897354915121 |Val Acc: 0.07333333333333333   |Time: 225.5145258649718
Epochs: 10      |Loss: 3.606314508970481        |Train Acc: 0.07984208448480064 |Val Acc: 0.10222222222222223   |Time: 228.72334027686156
Epochs: 11      |Loss: 3.5802147485971734       |Train Acc: 0.08495854717726016 |Val Acc: 0.08666666666666667   |Time: 230.1363308171276
Epochs: 12      |Loss: 3.5615136029002135       |Train Acc: 0.08727990525069088 |Val Acc: 0.09777777777777778   |Time: 226.89924039901234
Epochs: 13      |Loss: 3.5438625818592167       |Train Acc: 0.09201737070667193 |Val Acc: 0.08  |Time: 228.58697638404556
Epochs: 14      |Loss: 3.5260237298160497       |Train Acc: 0.09553888669561784 |Val Acc: 0.10444444444444445   |Time: 224.2534995661117
Epochs: 15      |Loss: 3.510680790094345        |Train Acc: 0.09958152388472168 |Val Acc: 0.10222222222222223   |Time: 222.9171544839628
Epochs: 16      |Loss: 3.4979675008410105       |Train Acc: 0.10311883142518752 |Val Acc: 0.09333333333333334   |Time: 227.78845804487355
Epochs: 17      |Loss: 3.4819138271009504       |Train Acc: 0.10588235294117647 |Val Acc: 0.09111111111111111   |Time: 232.09922022512183
Epochs: 18      |Loss: 3.4641949664092184       |Train Acc: 0.11098302408211606 |Val Acc: 0.10888888888888888   |Time: 227.56408961303532
Epochs: 19      |Loss: 3.4409613092379563       |Train Acc: 0.1162258191867351  |Val Acc: 0.10888888888888888   |Time: 227.90105627197772
Epochs: 20      |Loss: 3.4196648027432843       |Train Acc: 0.12058428740623767 |Val Acc: 0.11777777777777777   |Time: 221.4305375048425
Epochs: 21      |Loss: 3.4022472698943584       |Train Acc: 0.12348993288590604 |Val Acc: 0.12  |Time: 226.17564820707776
Epochs: 22      |Loss: 3.38804443465548 |Train Acc: 0.12750098697197    |Val Acc: 0.11555555555555555   |Time: 231.50521070417017
Epochs: 23      |Loss: 3.3763380445494655       |Train Acc: 0.12920647453612316 |Val Acc: 0.12444444444444444   |Time: 226.13591740722768
Epochs: 24      |Loss: 3.3607093970708775       |Train Acc: 0.13305961310698777 |Val Acc: 0.1111111111111111    |Time: 229.71078239101917
Epochs: 25      |Loss: 3.344160166407968        |Train Acc: 0.13571259376233716 |Val Acc: 0.1288888888888889    |Time: 227.7354379100725
